DatabaseClass text,Name text,HullNumber text,DateInService numeric,DateOutService numeric
"Leander FF Batch 3A","HMS Andromeda","F57","1969.42","1993.45"
"Leander FF Batch 3A","HMS Charybdis","F75","1969.16","1992.75"
"Leander FF Batch 3A","HMS Hermoine","F58","1969.52","1992.49"
"Leander FF Batch 3A","HMS Jupiter","F60","1969.6","1992.3"
"Leander FF Batch 3A","HMS Scylia","F71","1969.12","1993.92"
"Leander FF Batch 3B","HMS Achilles","F12","1970.44","1991.58"
"Leander FF Batch 3B","HMS Apollo","F70","1972.32","2006.82"
"Leander FF Batch 3B","HMS Ariadne","F72","1973.11","1992.33"
"Leander FF Batch 3B","HMS Baccante","F69","1969.79","1969.79"
"Leander FF Batch 3B","HMS Diomede","F16","1971.25","1988.41"
"Legend WMSL","USCGC Bertholf","WMSL-750","2008.3484","2999.9973"
"Legend WMSL","USCGC Hamilton","WMSL-753","consruction start requested",""
